artist;start_lat;start_lon;end_lat;end_lon;from;to;mode;modecolor;id;stroke
Green Velvet;53.35233;-2.27166;52.30768;4.76742;Manchester (MAN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;1;2
Andhim;50.90969;-1.40435;52.30768;4.76742;Southampton (SOU);Amsterdam Schiphol (AMS);Flight;#3BC4D8;2;2
Sam Shure;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;3;2
Disclosure;51.50484;0.04951;52.30768;4.76742;London City (LCY);Amsterdam Schiphol (AMS);Flight;#3BC4D8;4;2
Tijana T;44.49599;20.18150;52.30768;4.76742;Luchthaven Belgrado Nikola Tesla;Amsterdam Schiphol (AMS);Flight;#3BC4D8;5;2
Floorplan;33.64041;-84.41985;52.30768;4.76742;Atlanta (ATL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;6;3
Bambounou;53.21917;6.56667;52.37918;4.89943;Groningen Centraal station;Amsterdam Central Station;Railway;#33FF66;7;1
Horse Meat Disco;51.470020;-0.45429;52.30768;4.76742;London Heathrow (LHR);Amsterdam Schiphol (AMS);Flight;#3BC4D8;8;2
HAAi;46.2111;6.1028;52.30768;4.76742;Genève (GVA);Amsterdam Schiphol (AMS);Flight;#3BC4D8;9;2
George Fitzgerald;51.50484;0.04951;52.30768;4.76742;London City (LCY);Amsterdam Schiphol (AMS);Flight;#3BC4D8;10;2
Moodymann;49.00972;2.54778;52.30768;4.76742;Paris (CDG);Amsterdam Schiphol (AMS);Flight;#3BC4D8;11;2
Archie Hamilton;40.4839;-3.5680;52.30768;4.76742;Madrid Airport (MAD);Amsterdam Schiphol (AMS);Flight;#3BC4D8;12;2
George Fitzgerald;55.95078;-3.36145;52.30768;4.76742;Edinburgh (EDI);Amsterdam Schiphol (AMS);Flight;#3BC4D8;13;2
Patrick Topping;55.0358;-1.6883;52.30768;4.76742;Newcastle (NCL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;14;2
Moodymann;42.22628;-83.34705;52.30768;4.76742;Detroit Metro Wayne County Airport (DTW) Terminal EM;Amsterdam Schiphol (AMS);Flight;#3BC4D8;15;3
Moxie;51.531427;-0.126133;52.37918;4.89943;London St Pancras;Amsterdam Central Station;Railway;#33FF66;16;2
Bedouin;25.25278;55.36444;52.30768;4.76742;Dubai;Amsterdam Schiphol (AMS);Flight;#3BC4D8;17;3
DJ Seinfeld;55.86510;-4.43317;52.30768;4.76742;Glasgow Airport (GLA);Amsterdam Schiphol (AMS);Flight;#3BC4D8;18;2
Joachim Pastor;48.52513;2.21192;52.30768;4.76742;Paris Gare de Nord;Amsterdam Schiphol (AMS);Railway;#33FF66;19;2
Dr. Rubinstein;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;20;2
Roi Perez;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;21;2
Roman Flügel;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;22;2
Rødhåd;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;23;2
Joachim Pastor;43.4353;5.2090;52.30768;4.76742;Aéroport Marseille Provence (MRS);Amsterdam Schiphol (AMS);Flight;#3BC4D8;24;2
&ME;36.6717;-4.4928;52.30768;4.76742;Málaga-Costa del Sol (AGP);Amsterdam Schiphol (AMS);Flight;#3BC4D8;25;2
Vermelho;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;26;2
Rone;48.52513;2.21192;52.37918;4.89943;Paris Nord;Amsterdam Central Station;Railway;#33FF66;27;2
John Talabot;50.1018 ;14.2632;52.30768;4.76742;Prague (PRG);Amsterdam Schiphol (AMS);Flight;#3BC4D8;28;2
Rampue;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;29;2
Rampa;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;30;2
DMX Krew;51.3763;-2.7182;52.30768;4.76742;Bristol (BRS);Amsterdam Schiphol (AMS);Flight;#3BC4D8;31;2
Midland;51.15222;-0.1825;52.30768;4.76742;London Gatwick (LGW);Amsterdam Schiphol (AMS);Flight;#3BC4D8;32;2
Ben Klock;48.52513;2.21192;52.37918;4.89943;Paris Gare de Nord;Amsterdam Central Station;Railway;#33FF66;33;2
Ninze & Okaxy;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;34;2
Disclosure;55.0358;-1.6883;52.30768;4.76742;Newcastle (NCL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;35;2
Disclosure;51.470020;-0.45429;52.30768;4.76742;London Heathrow (LHR);Amsterdam Schiphol (AMS);Flight;#3BC4D8;36;2
Disclosure;51.15222;-0.1825;52.30768;4.76742;London Gatwick (LGW);Amsterdam Schiphol (AMS);Flight;#3BC4D8;37;2
DJ Boring;51.15222;-0.1825;52.30768;4.76742;Gatwick London (LGW);Amsterdam Schiphol (AMS);Flight;#3BC4D8;38;2
Amelie Lens;33.94279;-118.41004;52.30768;4.76742;Los Angeles (LAX);Amsterdam Schiphol (AMS);Flight;#3BC4D8;39;3
Be Svendsen;55.62075;12.65046;52.30768;4.76742;Kopenhagen (CPH);Amsterdam Schiphol (AMS);Flight;#3BC4D8;40;2
Sedef Adasi;48.3533;11.7865;52.30768;4.76742;Munchen (MUC);Amsterdam Schiphol (AMS);Flight;#3BC4D8;41;2
Bjarki;48.3534;11.7866;52.30768;4.76742;Munich (MUC);Amsterdam Schiphol (AMS);Flight;#3BC4D8;42;2
Kölsch;33.94279;-118.41004;52.30768;4.76742;Los Angeles (LAX);Amsterdam Schiphol (AMS);Flight;#3BC4D8;43;3
Bicep;41.297445;2.08329;52.30768;4.76742;Barcelona - el Prat (BCN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;44;2
Henrik Schwarz;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;45;2
Honey Dijon;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;46;2
Dax J;48.52513;2.21192;52.37918;4.89943;Paris Gare de Nord;Amsterdam Central Station;Railway;#33FF66;47;2
Rebolledo;41.297445;2.08329;52.30768;4.76742;Barcelona - el Prat (BCN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;48;2
Pachanga Boys;41.297445;2.08329;52.30768;4.76742;Barcelona - el Prat (BCN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;49;2
GusGus;19.43611;-99.07194;52.30768;4.76742;Mexico City (MEX);Amsterdam Schiphol (AMS);Flight;#3BC4D8;50;3
The Black Madonna;51.470020;-0.45429;52.30768;4.76742;Heathrow Airport (LHR);Amsterdam Schiphol (AMS);Flight;#3BC4D8;51;2
Motor City Drum Ensemble;50.83851;4.34173;52.37918;4.89943;Brussel (MIDI);Amsterdam Central Station;Railway;#33FF66;52;2
Pachanga Boys;48.52513;2.21192;52.37918;4.89943;Bahnhof Paris - Nord;Amsterdam Central Station;Railway;#33FF66;53;2
Laurent Garnier;55.95078;-3.36145;52.30768;4.76742;Edinburgh Airport (EDI);Amsterdam Schiphol (AMS);Flight;#3BC4D8;54;2
Marcel Dettmann;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;55;2
Len Faki;55.95078;-3.36145;52.30768;4.76742;Edinburgh (EDI);Amsterdam Schiphol (AMS);Flight;#3BC4D8;56;2
Dixon;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;57;2
Max Cooper;41.1366;16.7564;52.30768;4.76742;Bari (BRI);Amsterdam Schiphol (AMS);Flight;#3BC4D8;58;2
Oliver Koletzki;50.03333;8.570556;52.30768;4.76742;Frankfurt Airport (FRA);Amsterdam Schiphol (AMS);Flight;#3BC4D8;59;2
DJ Koze;47.15222;11.20228;52.30768;4.76742;Innsbruck (INN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;60;2
Mano le Tough;47.27318;8.32342;52.30768;4.76742;Luchthaven Zürich (ZRH);Amsterdam Schiphol (AMS);Flight;#3BC4D8;61;2
DJ Koze;53.37294;9.59168;52.30768;4.76742;Hamburg (HAM);Amsterdam Schiphol (AMS);Flight;#3BC4D8;62;2
Rødhåd;52.55883;13.28843;52.30768;4.76742;Berlin Tegel (TXL);Amsterdam Schiphol (AMS);Flight;#3BC4D8;63;2
ANNA;46.2111;6.1028;52.30768;4.76742;Geneve (GVA);Amsterdam Schiphol (AMS);Flight;#3BC4D8;64;2
Mella Dee;55.95078;-3.36145;52.30768;4.76742;Edinburgh (EDI);Amsterdam Schiphol (AMS);Flight;#3BC4D8;65;2
Redshape [live];53.35233;-2.27166;52.30768;4.76742;Manchester Airport (MAN);Amsterdam Schiphol (AMS);Flight;#3BC4D8;66;2
Optimo;55.86510;-4.43317;52.30768;4.76742;Glasgow (GLA);Amsterdam Schiphol (AMS);Flight;#3BC4D8;67;2
